category,subcategory,type,totalReceived,activeGrievancesWithoutEscalation,activeGrievancesWithEscalation,closedGrievancesWithoutEscalation,closedGrievancesWithEscalation,successfulTransferIn,successfulTransferOut,grievancesWithoutRatings,grievancesWithRatings,grievancesWithVeryGoodRating,grievanceswithgoodrating,grievancesWithOKRating,grievancesWithBadRating,grievancesWithVeryBadRating,twitterGrievances,facebookGrievances,grievancesAdditionalInfoProvided,grievancesAdditionalInfoNotProvided,grievancesWithoutFeedback,grievancesWithFeedback,grievancesWithFeedbackIssueNotResolved,grievancesWithFeedbackIssueResolved
Airline,"Air Costa","Ticketing, Fares & Refunds",131,0,0,131,131,0,NA,73,58,50,2,1,4,1,0,0,3,131,68,63,61,2
Airline,GoAir,Baggage,337,0,0,336,336,0,NA,296,41,33,5,1,2,0,4,0,4,337,292,45,40,5
Airline,GoAir,"Ticketing, Fares &amp; Refunds",2087,0,0,2078,2078,0,NA,1955,132,110,11,3,1,7,0,0,0,2087,1943,144,134,10
Airline,"British Airways","Ticketing, Fares & Refunds",75,0,0,74,74,0,NA,70,5,3,0,1,0,1,1,0,1,75,70,5,4,1
Airline,"Air India",Other,1528,0,1,1526,1526,0,NA,1361,166,128,8,16,4,10,17,0,43,1528,1341,187,168,19
Airline,"Air India","Person With Disability",93,1,0,90,90,0,NA,82,10,7,0,2,0,1,0,0,3,93,81,12,11,1
Airline,Lufthansa,"Check-in & Boarding",13,0,0,12,12,0,NA,11,2,1,0,0,0,1,0,0,1,13,11,2,1,1
Airline,Lufthansa,"Ticketing, Fares & Refunds",116,0,0,109,109,0,NA,99,17,11,2,1,1,2,1,0,5,116,97,19,14,5
Airline,"Air India Express",Baggage,450,0,0,450,450,2,NA,397,53,48,3,0,2,0,3,0,8,450,397,53,49,4
Airline,"Jet Airways","Flight Delays",600,0,0,600,600,0,NA,521,79,64,6,5,1,3,4,0,8,600,516,84,74,10
Airline,"Jet Airways",Maintenance,36,0,0,36,36,0,NA,30,6,5,1,0,0,0,0,0,0,36,29,7,6,1
